Number,PCR Number,PCR Name,Proposer,Status,PCR Type,Change Request,Create On,Last Modified On,OTM,Product Category,Impacted Products,Product Name ,Current Status,Next CP,PKO,BC,SDV Entry,SDV Exit,SIT Entry,SIT Exit,SVT Entry,SVT Exit,SOVP Entry, SS,EOL/LOD Date,TPM,SL,OTM/ODT Leader,Project Name,Platform_y,FF,Platform_x,Segment,Brand,PCB,MB ,Region,Chassis
0,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre Tower 08IRR9,IdeaCentre Tower 08IRR9,Plan,2024-04-04,2023-11-28,2024-04-04,TBD,TBD,TBD,TBD,TBD,TBD,TBD,2024-9,,qianqiana,Songliang,hanjing7,TBD,Intel_RPL-S-R,SFF,RPL-S  B760 DDR5,Consumer,IdeaCentre,New PCB3,TBD,ROW & PRC,8.2L
1,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre Tower 14IRR9,IdeaCentre Tower 14IRR9,SVT,2/23 -->2/6,2023-06-05,2023-09-05,2023-09-29,2023-11-30,2023-12-04,2/23 -->2/6,2024-02-16,2024-03-15,,2024-03-15,2025-06-30,Hua Dong,Jianfeng Wu,yuyan9,Malawi,Intel_RPL-S-R,TWR,RPL-S B760,Consumer,IdeaCentre,New PCB3,MB5,ROW & PRC,13.6L
2,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,LOQ Tower 17IRR9,LOQ Tower 17IRR9,SVT,2/23 -->2/6,2023-06-05,2023-09-05,2023-09-29,2023-11-30,2023-12-04,2/23 -->2/6,2024-02-16,2024-03-15,,2024-03-15,2025-06-30,Hua Dong,Jianfeng Wu,yuyan9,Pamir,Intel_RPL-S-R,TWR,RPL-S B760,Consumer,IdeaCentre,New PCB3,MB5,ROW & PRC,17L
3,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,NEC Canopus-DR-LV,NEC Canopus-DR-LV,SVT,-,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,-,-,,-,,kangxj2,Xihong Lin,zhangjn4,Canopus-DR,RPL-S,SFF,ADL-S Q670,NEC,NEC,RPL PCB1(MSI),MB2,NECPC,8.2L
4,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,NEC Canopus-DR-MB,NEC Canopus-DR-MB,SVT,-,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,-,-,,-,,kangxj2,Xihong Lin,zhangjn4,Canopus-DR,RPL-S,SFF,ADL-S Q670,NEC,NEC,RPL PCB1(MSI),MB2,NECPC,8.2L
5,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,NEC Canopus-DR-ME,NEC Canopus-DR-ME,SVT,-,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,-,-,,-,,kangxj2,Xihong Lin,zhangjn4,Canopus-DR,RPL-S,SFF,ADL-S Q670,NEC,NEC,RPL PCB1(MSI),MB2,NECPC,8.2L
6,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,NEC Canopus-DR-ML,NEC Canopus-DR-ML,SIT,2024-03-14,2023-02-28,2023-09-05,2023-10-07,2023-11-24,2023-12-13,2024-03-14, -, -, -, -,,Joyce Guo,Yuhao Su,zhangjn4,Canopus-DR,Others,SFF,ADL-S Q670 PAYG,NEC,NEC,New PCB3,MB2,NECPC,8.2L
7,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M70q Gen 5,ThinkCentre M70q Gen 5,SIT,2024-01-08,2023-06-12,2023-10-16,2023-11-10,2024-01-08,2024-01-22,2024-04-26,2024-05-09,2024-06-10,,2024-07-16,2026-06-30,wangjy75,zouzhi1,tanxh2,Meknes_M_Tiny,Intel_RPL-S-R,Tiny,Intel ADL Q670,Commercial,ThinkCentre M,PCB2-DDR5*2,MB2:TCM,WW,1L
8,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M70s Gen 5,ThinkCentre M70s Gen 5,SIT,2024-03-14,2023-02-28,2023-09-05,2023-10-07,2023-11-24,2023-12-13,2024-03-14,2024-03-15,2024-04-16,,2024-04-30,2026-03-30,Joyce Guo,Songhao Chen,zhangjn4,Meknes_M,Intel_RPL-S-R,SFF,ADL-S Q670 PAYG,Commercial,ThinkCentre M,New PCB3,MB1,WW,8.2L
9,CP20240517_0009,Remove Micron 2550 SSD from CS24 Sync prejects,xiegy3,Under Review,Multiple Source Import,"Ø 1.  PCR request This PCR is to request removal of Micron 2550 SSD from CS24 Sync prejects.  Ø 2.  Background Micron 2550 SSD has MP gating issue caused hung up during OOBE Data retention test. 2550 SSD does not qualify to Lenovo's requirements. Micron's investigation for the root cause and FW solution is taking very long time, finally Micron internally decided to cancel 2550 product due to 2650 will be ready in 24Q4. Since Micron internally cancelled 2550, Lenovo Storage Dev. decided to remove Micron 2550 from the Sync prejects sourcing list. Ø 3.  Required actions: Remove Micron 2550 SSD from Sync prejects of CS24 system.  Remove Micron 2550 SSD from the sourcing plan. Ø 4.  Drive information to be removed from Source Plan SSS1D71499---Micron 2550 256GB 2280 SSS1D71500---Micron 2550 512GB 2280 SSS1D71501---Micron 2550 1TB 2280",2024-05-17T18:23:16.000,2024-05-17T18:28:06.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M70t Gen 5,ThinkCentre M70t Gen 5,SIT,2024-03-14,2023-02-28,2023-09-05,2023-10-07,2023-11-24,2023-12-13,2024-03-14,2024-03-15,2024-04-16,,2024-04-30,2026-03-30,Joyce Guo,Songhao Chen,zhangjn4,Meknes_M,Intel_RPL-S-R,TWR,ADL-S Q670 PAYG,Commercial,ThinkCentre M,New PCB3,MB1,WW,13.6L
